Voltage_V,Current_A
0,-3.87772424221357e-10
0.05,-5.21546618368847e-11
0.1,-5.37341705790931e-13
0.15,-5.67727086654859e-13
0.2,-5.62853139567154e-13
0.25,-3.55789510167914e-14
0.3,-5.80394278306309e-14
0.35,-3.50859332737193e-14
0.4,-2.02009709515356e-14
0.45,-6.11694852729534e-15
0.5,-5.26816684917996e-14
0.55,-1.52807674307765e-14
0.6,-1.57354457744314e-14
0.65,-1.90422121826218e-14
0.7,-1.50212750122476e-14
0.75,-4.19339810438413e-14
0.8,-2.77763224454402e-14
0.85,-1.25000607381897e-14
0.9,-9.8847695958989e-15
0.95,-2.7746703425665e-14
1,-7.89506381938544e-15
