Current_A,Voltage_V
0,-4.55974563859394e-16
5e-07,9.37653096766497e-12
1e-06,1.00336952071196e-11
1.5e-06,7.78667419631231e-11
2e-06,7.62121207523048e-11
2.5e-06,7.91094833824457e-11
3e-06,7.03095453138863e-11
3.5e-06,7.34723226141523e-11
4e-06,7.60699634286218e-11
4.5e-06,8.21281241006317e-11
5e-06,6.66047228757877e-11
5.5e-06,6.73463626398017e-11
6e-06,6.55387175886115e-11
6.5e-06,6.66034033701897e-11
7e-06,7.45356888901326e-11
7.5e-06,6.97455730977351e-11
8e-06,7.84301320444517e-11
8.5e-06,6.8727846191848e-11
9e-06,6.81900312337263e-11
9.5e-06,6.90615646811602e-11
1e-05,7.20016948162692e-11
