Current_A,Voltage_V
0,2.35313642717272e-15
5.26315789473684e-07,2.50059893953922e-15
1.05263157894737e-06,1.78607889646156e-15
1.57894736842105e-06,4.64427161483791e-15
2.10526315789474e-06,2.3334680319659e-15
2.63157894736842e-06,1.92919480215253e-15
3.15789473684211e-06,1.64182200651827e-15
3.68421052631579e-06,1.72801703690194e-15
4.21052631578947e-06,2.34500594415017e-15
4.73684210526316e-06,2.76762522452564e-15
5.26315789473684e-06,2.42390849800767e-15
5.78947368421053e-06,1.50423638164216e-15
6.31578947368421e-06,1.87548316251907e-15
6.8421052631579e-06,3.10498640476442e-15
7.36842105263158e-06,2.41474870557631e-15
7.89473684210526e-06,2.66721756846864e-15
8.42105263157895e-06,2.85975837204609e-15
8.94736842105263e-06,3.4906045851733e-15
9.47368421052632e-06,2.61611389284051e-15
1e-05,3.07695369731674e-15
